,Location Id,Easting,Northing
187,L1001903,612500.0,266500.0
188,L1001918,292000.0,172100.0
189,L1001919,454600.0,172100.0
190,L1001934,393700.0,95000.0
191,L1001945,340900.0,117500.0
192,L1001952,563400.0,241000.0
193,L1001968,604071.0,311985.0
194,L1001972,319300.0,192000.0
195,L1001980,415400.0,239600.0
196,L1001987,507000.0,146700.0
197,L1002017,446300.0,271400.0
198,L1002021,611001.0,330000.0
199,L1002022,410400.0,543100.0
200,L1002026,635100.0,264300.0
201,L1002033,295500.0,142300.0
202,L1002039,575700.0,131700.0
203,L1002045,489304.0,386276.0
204,L1002060,409683.0,561199.0
205,L1002061,330221.0,944373.0
206,L1002073,627000.0,296700.0
207,L1002089,606115.0,275086.0
208,L1002090,534300.0,358600.0
209,L1002102,616300.0,269500.0
210,L1002113,509600.0,157400.0
211,L1002114,606900.0,332300.0
212,L1002128,613200.0,266600.0
213,L1002131,470100.0,250198.0
214,L1002166,618705.0,267192.0
215,L1002173,603200.0,266900.0
216,L1002181,504300.0,135000.0
217,L1002189,631920.0,270220.0
218,L1002196,532794.0,319750.0
219,L1002200,647100.0,290200.0
220,L1002203,450369.0,327851.0
221,L1002206,364500.0,148900.0
222,L1002220,566500.0,324800.0
223,L1002225,621800.0,289800.0
224,L1002227,235000.0,104200.0
225,L1002255,357800.0,285600.0
226,L1002263,444619.0,219795.0
227,L1002269,233600.0,110200.0
228,L1002277,434208.0,421628.0
229,L1002279,0.0,0.0
230,L1002302,560200.0,116700.0
231,L1002306,605900.0,280502.0
232,L1002313,531800.0,255300.0
233,L1002314,478600.0,229900.0
234,L1002321,472000.0,344000.0
235,L1002325,525500.0,279900.0
236,L1002330,648700.0,317400.0
237,L1002351,615500.0,274100.0
238,L1002354,346900.0,121600.0
239,L1002356,603800.0,274400.0
240,L1002360,611411.0,271389.0
241,L1002369,603300.0,267900.0
242,L1002373,621900.0,271600.0
243,L1002376,619500.0,269800.0
244,L1002388,528600.0,250700.0
245,L1002392,179700.0,44000.0
246,L1002393,324000.0,864000.0
247,L1002414,630000.0,260000.0
248,L1002415,284600.0,635300.0
249,L1002426,224400.0,127000.0
250,L1002431,626144.0,271279.0
251,L1002437,347406.0,346007.0
252,L1002438,432999.0,551930.0
253,L1002451,365400.0,213300.0
254,L1002458,528700.0,250500.0
255,L1002467,576200.0,256000.0
256,L1002472,527700.0,216200.0
257,L1002478,621395.0,285994.0
258,L1002485,529700.0,223900.0
259,L1002497,444352.0,317502.0
260,L1002498,512000.0,264000.0
261,L1002501,326800.0,381099.0
262,L1002503,521500.0,255500.0
263,L1002504,166100.0,35700.0
264,L1002514,611779.0,269936.0
265,L1002515,258400.0,193900.0
266,L1002538,384700.0,331400.0
267,L1002541,359700.0,102200.0
268,L1002543,329700.0,182400.0
269,L1002550,493838.0,364525.0
270,L1002580,459331.0,385078.0
271,L1002583,439700.0,465899.0
272,L1002590,361900.0,203400.0
273,L1002591,488152.0,406724.0
274,L1002592,616400.0,252200.0
275,L1002622,552500.0,294500.0
276,L1002627,533200.0,250800.0
277,L1002635,523050.0,248850.0
278,L1002639,380600.0,125100.0
279,L1002652,376102.0,122901.0
280,L1002655,630000.0,156600.0
281,L1002674,350700.0,200200.0
282,L1002677,386700.0,210100.0
283,L1002686,293600.0,670800.0
284,L1002697,377159.0,357706.0
285,L1002711,477400.0,197600.0
286,L1002722,389470.0,497964.0
287,L1002726,552550.0,181850.0
288,L1002732,269800.0,198600.0
289,L1002735,236100.0,244900.0
290,L1002743,426600.0,347000.0
291,L1002753,246744.0,203904.0
292,L1002802,313400.0,709400.0
293,L1002809,540946.0,325885.0
294,L1002818,588700.0,303500.0
295,L1002851,440600.0,373000.0
296,L1002864,599800.0,291800.0
297,L1002869,605544.0,335193.0
298,L1002872,422300.0,129200.0
299,L1002888,633200.0,325000.0
300,L1002890,545900.0,295500.0
301,L1002898,496400.0,470799.0
302,L1002900,435329.0,131588.0
303,L1002908,357024.0,277075.0
304,L1002916,427700.0,339900.0
305,L1002921,536923.0,340593.0
306,L1002925,359746.0,436860.0
307,L1002926,241430.0,69750.0
308,L1002934,371500.0,155900.0
309,L1002935,331400.0,102000.0
310,L1002938,371700.0,123100.0
311,L1002954,473800.0,331300.0
312,L1002959,359600.0,374400.0
313,L1002964,517750.0,213650.0
314,L1002978,547700.0,161000.0
315,L1002983,479209.0,351841.0
316,L1002988,408400.0,131200.0
317,L1002996,370100.0,214700.0
318,L1003012,501100.0,491000.0
319,L1003022,511500.0,447500.0
320,L1003076,620600.0,157600.0
321,L1003083,428000.0,325600.0
322,L1003084,557900.0,117000.0
323,L1003088,454300.0,381300.0
324,L1003090,335300.0,158600.0
325,L1003091,537800.0,377100.0
326,L1003094,234488.0,236547.0
327,L1003103,476600.0,432500.0
328,L1003105,413200.0,275899.0
329,L1003110,386700.0,176600.0
330,L1003133,494400.0,349400.0
331,L1003149,415951.0,214816.0
332,L1003171,540600.0,365300.0
333,L1003172,300500.0,196800.0
334,L1003185,437915.0,517806.0
335,L1003193,367900.0,90500.0
336,L1003211,446800.0,381200.0
337,L1003221,491500.0,180800.0
338,L1003226,486400.0,257100.0
339,L1003229,397400.0,343600.0
340,L1003242,488000.0,102600.0
341,L1003245,494200.0,244700.0
342,L1003262,266700.0,46300.0
343,L1003265,315930.0,195720.0
344,L1003287,614300.0,243600.0
345,L1003292,175900.0,25900.0
346,L1003303,429800.0,299100.0
347,L1003304,333400.0,157100.0
348,L1003305,418800.0,334300.0
349,L1003306,399200.0,185400.0
350,L1003313,410200.0,433600.0
351,L1003343,552200.0,309600.0
352,L1003344,398200.0,157500.0
353,L1003345,333400.0,261500.0
354,L1003370,330600.0,354900.0
355,L1003380,419300.0,133600.0
356,L1003401,279300.0,757800.0
357,L1003412,169600.0,16100.0
358,L1003432,300400.0,182100.0
359,L1003439,369200.0,218000.0
360,L1003444,378500.0,783300.0
361,L1003447,555900.0,194300.0
362,L1003448,413400.0,143300.0
363,L1003451,313400.0,565300.0
364,L1003466,321000.0,245000.0
365,L1003467,239200.0,66000.0
366,L1003509,255800.0,143800.0
367,L1003514,613900.0,227500.0
368,L1003558,401600.0,382200.0
369,L1003559,339800.0,845500.0
370,L1003561,464500.0,167800.0
371,L1003563,422500.0,277200.0
372,L1003575,577200.0,226200.0
373,L1003590,288100.0,73400.0
374,L1003591,481100.0,209900.0
375,L1003593,478300.0,260600.0
376,L1003602,229000.0,207100.0
377,L1003616,373100.0,277000.0
378,L1003645,494600.0,335800.0
379,L1003654,509700.0,146200.0
380,L1003655,310300.0,293700.0
381,L1003658,533700.0,199700.0
382,L1003659,454500.0,83900.0
383,L1003667,330600.0,384100.0
384,L1003674,317400.0,189500.0
385,L1003675,282700.0,300200.0
386,L1003710,309500.0,861800.0
387,L1003712,476200.0,364900.0
388,L1003732,313900.0,303600.0
389,L1003735,407100.0,139100.0
390,L1003737,593300.0,172900.0
391,L1003758,534000.0,118100.0
392,L1003771,528800.0,203200.0
393,L1003795,199700.0,75400.0
394,L1003796,508600.0,255100.0
395,L1003799,443800.0,339700.0
396,L1003802,410400.0,285100.0
397,L1003805,488100.0,211900.0
398,L1003812,308400.0,700900.0
399,L1003814,431500.0,363000.0
400,L1003816,164500.0,41100.0
401,L1003826,511900.0,298700.0
402,L1003841,274600.0,121700.0
403,L1003856,471000.0,159100.0
404,L1003861,596300.0,271700.0
405,L1003899,569200.0,316400.0
406,L1003930,453400.0,239800.0
407,L1003931,569800.0,277000.0
408,L1003951,576900.0,233500.0
409,L1003988,261767.0,61462.0
410,L1003991,422100.0,234000.0
411,L1004001,555700.0,258100.0
412,L1004013,310900.0,122500.0
413,L1004018,166600.0,42300.0
414,L1004022,464400.0,282000.0
415,L1004048,619700.0,336400.0
416,L1004051,444700.0,291500.0
417,L1004055,495229.0,449115.0
418,L1004070,355900.0,370700.0
419,L1004078,201000.0,78300.0
420,L1004092,554300.0,129000.0
421,L1004095,516700.0,240900.0
422,L1004105,299700.0,522700.0
423,L1004147,359500.0,347700.0
424,L1004161,240800.0,649300.0
425,L1004162,171200.0,50000.0
426,L1004180,477600.0,291200.0
427,L1004181,552400.0,293700.0
428,L1004182,162000.0,33600.0
429,L1004192,310100.0,513000.0
430,L1004205,280300.0,828200.0
431,L1004218,542000.0,348000.0
432,L1004221,385300.0,446300.0
433,L1004223,249100.0,116700.0
434,L1004228,372800.0,210200.0
435,L1004234,294243.0,670295.0
436,L1004254,156300.0,936600.0
437,L1004262,621400.0,140200.0
438,L1004263,518000.0,430400.0
439,L1004268,514300.0,344400.0
440,L1004273,569900.0,227000.0
441,L1004279,239000.0,97400.0
442,L1004281,471900.0,265800.0
443,L1004308,604300.0,332700.0
444,L1004311,352900.0,367000.0
445,L1004325,329700.0,338000.0
446,L1004336,621900.0,144900.0
447,L1004383,263700.0,636300.0
448,L1004387,400000.0,825300.0
449,L1004429,306300.0,643500.0
450,L1004438,368100.0,246400.0
451,L1004443,398400.0,259600.0
452,L1004444,473500.0,106200.0
453,L1004457,387800.0,102400.0
454,L1004463,368593.0,171068.0
455,L1004482,376900.0,823800.0
456,L1004499,289700.0,174000.0
457,L1004501,248610.0,254550.0
458,L1004518,327200.0,958800.0
459,L1004526,614400.0,220400.0
460,L1004532,360700.0,206600.0
461,L1004539,439150.0,316523.0
462,L1004545,237700.0,649200.0
463,L1004547,329300.0,118500.0
464,L1004561,337700.0,446600.0
465,L1004587,516700.0,349400.0
466,L1004589,456500.0,102900.0
467,L1004591,392900.0,453900.0
468,L1004592,251900.0,200600.0
469,L1004613,380600.0,132400.0
470,L1004621,431000.0,156100.0
471,L1004626,197168.0,53589.0
472,L1004628,458100.0,90300.0
473,L1004647,393200.0,565700.0
474,L1004650,482000.0,189300.0
475,L1004666,562300.0,102600.0
476,L1004677,176700.0,36700.0
477,L1004691,462400.0,285200.0
478,L1004699,502100.0,492400.0
479,L1004719,546913.0,354909.0
480,L1004750,242700.0,99400.0
481,L1004752,422300.0,266200.0
482,L1004754,633700.0,151700.0
483,L1004794,614600.0,291800.0
484,L1004828,629700.0,330400.0
485,L1004831,243700.0,75200.0
486,L1004842,454200.0,311400.0
487,L1004860,621400.0,279600.0
488,L1004861,350900.0,364900.0
489,L1004877,466100.0,167300.0
490,L1004887,533700.0,115300.0
491,L1004908,568200.0,114800.0
492,L1004909,400900.0,172700.0
493,L1004943,577000.0,303200.0
494,L1004953,588200.0,194500.0
495,L1004956,582033.0,325869.0
496,L1004962,350300.0,433300.0
497,L1004978,442101.0,462615.0
498,L1004984,470500.0,484000.0
499,L1004985,190400.0,54300.0
500,L1004987,522600.0,258400.0
501,L1005002,422500.0,470600.0
502,L1005012,556400.0,111300.0
503,L1005019,525100.0,270900.0
504,L1005028,501000.0,441800.0
505,L1005034,314600.0,260600.0
506,L1005038,437300.0,349500.0
507,L1005040,460900.0,158900.0
508,L1005046,594100.0,266000.0
509,L1005065,231000.0,216000.0
510,L1005069,469000.0,390800.0
511,L1005073,512500.0,308500.0
512,L1005079,351000.0,288200.0
513,L1005097,363800.0,247900.0
514,L1005112,463136.0,117332.0
515,L1005124,468000.0,134700.0
516,L1005134,582000.0,189200.0
517,L1005140,522600.0,258400.0
518,L1005151,582700.0,226900.0
519,L1005161,612300.0,224500.0
520,L1005174,583300.0,210900.0
521,L1005181,235223.0,81395.0
522,L1005183,252600.0,346400.0
523,L1005189,266600.0,273100.0
524,L1005191,491500.0,482300.0
525,L1005193,548000.0,367200.0
526,L1005199,482900.0,477900.0
527,L1005240,233700.0,342000.0
528,L1005249,349200.0,366300.0
529,L1005263,229200.0,62400.0
530,L1005269,452500.0,437100.0
531,L1005277,446800.0,400200.0
532,L10053,462200.0,319000.0
533,L1005324,418600.0,97900.0
534,L1005327,596000.0,172100.0
535,L1005332,464000.0,233500.0
536,L1005337,186300.0,69000.0
537,L1005347,301000.0,187000.0
538,L1005350,245700.0,364900.0
539,L1005362,451900.0,421400.0
540,L1005363,406200.0,427400.0
541,L1005374,304300.0,267100.0
542,L1005378,349200.0,462700.0
543,L1005396,569700.0,296000.0
544,L1005406,335100.0,279200.0
545,L1005416,482400.0,505700.0
546,L1005428,521400.0,112000.0
547,L1005434,330220.0,100992.0
548,L1005442,445900.0,504600.0
549,L1005448,442600.0,381100.0
550,L1005474,392200.0,165300.0
551,L1005476,310600.0,177900.0
552,L1005483,354700.0,273000.0
553,L1005492,283200.0,749300.0
554,L10055,477300.0,240300.0
555,L1005523,521900.0,193600.0
556,L1005527,222400.0,60500.0
557,L1005528,200200.0,847900.0
558,L1005532,220400.0,94400.0
559,L1005533,573500.0,196400.0
560,L1005554,369200.0,184400.0
561,L1005559,632700.0,300800.0
562,L1005573,361200.0,845600.0
563,L1005578,393900.0,591800.0
564,L1005588,628100.0,329300.0
565,L1005590,472600.0,371300.0
566,L1005594,589000.0,303700.0
567,L1005603,345000.0,163600.0
568,L1005630,290200.0,302800.0
569,L1005634,650100.0,278400.0
570,L1005642,360900.0,187900.0
571,L1005648,531900.0,106300.0
572,L1005657,409300.0,565800.0
573,L1005661,356200.0,204500.0
574,L1005664,450400.0,244800.0
575,L1005668,480200.0,442600.0
576,L1005679,333300.0,203200.0
577,L1005682,518600.0,448400.0
578,L1005693,504400.0,397700.0
579,L1005696,237800.0,662000.0
580,L1005699,249300.0,643200.0
581,L1005708,323800.0,368600.0
582,L1005710,231800.0,646400.0
583,L1005713,232400.0,617500.0
584,L1005716,607100.0,278500.0
585,L1005731,589000.0,266500.0
586,L1005783,370000.0,224000.0
587,L1005785,166400.0,31800.0
588,L1005788,282700.0,618800.0
589,L10058,432600.0,316500.0
590,L1005816,171000.0,37300.0
591,L1005821,388500.0,168400.0
592,L1005827,331500.0,195200.0
593,L1005833,511800.0,230600.0
594,L1005834,370200.0,327800.0
595,L1005875,338900.0,144800.0
596,L1005879,492600.0,136600.0
597,L1005881,591700.0,214400.0
598,L1005883,392200.0,282200.0
599,L1005884,296200.0,664000.0
600,L1005894,512900.0,322200.0
601,L1005898,483800.0,285500.0
602,L10059,460600.0,318800.0
603,L1005903,439500.0,450800.0
604,L1005912,273456.0,100816.0
605,L1005914,440500.0,312300.0
606,L1005915,464500.0,356500.0
607,L1005923,513200.0,255900.0
608,L1005931,595200.0,233800.0
609,L1005938,288100.0,108400.0
610,L1005948,237400.0,615700.0
611,L1005956,365000.0,107100.0
612,L1005961,304800.0,87000.0
613,L1005969,397800.0,155900.0
614,L1005975,239700.0,69800.0
615,L1005981,441000.0,272600.0
616,L1005991,223900.0,581500.0
617,L1005995,394900.0,348600.0
618,L1006013,631100.0,155500.0
619,L1006028,446200.0,308100.0
620,L1006054,303000.0,102900.0
621,L1006056,412900.0,465800.0
622,L1006058,339300.0,400400.0
623,L1006062,577600.0,154200.0
624,L1006081,362500.0,444200.0
625,L1006083,349200.0,239700.0
626,L1006084,389800.0,97500.0
627,L1006100,202200.0,56100.0
628,L1006101,454100.0,124800.0
629,L1006103,354100.0,469800.0
630,L1006109,410800.0,95500.0
631,L1006112,446300.0,422900.0
632,L1006118,525500.0,120600.0
633,L1006123,166200.0,39900.0
634,L1006130,355300.0,414200.0
635,L1006133,397000.0,400000.0
636,L1006136,308600.0,502600.0
637,L1006140,338900.0,577800.0
638,L1006141,385300.0,125000.0
639,L1006145,490300.0,186900.0
640,L1006148,300100.0,513000.0
641,L1006151,331800.0,574200.0
642,L1006154,428900.0,425300.0
643,L1006184,550800.0,265700.0
644,L1006193,532600.0,288600.0
645,L1006196,318250.0,470649.0
646,L10062,446900.0,295300.0
647,L1006212,328900.0,207400.0
648,L1006223,504200.0,256800.0
649,L1006233,447900.0,276400.0
650,L1006247,446100.0,198400.0
651,L1006251,525100.0,285500.0
652,L1006263,427100.0,227100.0
653,L1006266,427000.0,439000.0
654,L1006271,473700.0,292600.0
655,L1006285,230100.0,609900.0
656,L1006286,437400.0,344900.0
657,L1006291,517700.0,359100.0
658,L1006319,460700.0,522100.0
659,L1006321,464700.0,293400.0
660,L1006322,502900.0,456500.0
661,L1006330,381500.0,387800.0
662,L1006331,276600.0,568700.0
663,L1006336,188400.0,58700.0
664,L1006339,173800.0,46300.0
665,L1006340,534300.0,296000.0
666,L1006350,252800.0,93600.0
667,L1006359,231700.0,71200.0
668,L1006364,307500.0,170500.0
669,L1006371,191200.0,62600.0
670,L1006376,552200.0,309600.0
671,L1006390,446800.0,424700.0
672,L1006391,344947.0,118949.0
673,L1006409,603900.0,264100.0
674,L1006411,291200.0,691700.0
675,L1006415,367400.0,321300.0
676,L1006416,432800.0,467600.0
677,L1006423,515100.0,463200.0
678,L1006425,387500.0,435300.0
679,L1006427,291600.0,857600.0
680,L1006430,470500.0,461900.0
681,L1006431,452800.0,348300.0
682,L1006432,597600.0,239300.0
683,L1006435,427800.0,107000.0
684,L1006437,345700.0,105700.0
685,L1006438,336500.0,475800.0
686,L1006444,253900.0,98900.0
687,L1006460,639300.0,258000.0
688,L1006464,400290.0,329600.0
689,L1006472,373500.0,179600.0
690,L1006478,422200.0,339600.0
691,L1006480,585600.0,227000.0
692,L1006488,241200.0,644900.0
693,L1006496,280700.0,123600.0
694,L1006499,435000.0,215900.0
695,L1006518,308200.0,585500.0
696,L1006525,519900.0,427100.0
697,L1006542,241200.0,644900.0
698,L1006550,610300.0,135200.0
699,L1006551,532800.0,230500.0
700,L1006552,255800.0,61800.0
