,reportDate,infDate,confDate,cullStart,cullEnd
107,2022-10-19,2022-10-11,2022-10-21,2022-10-26,
108,2022-10-19,2022-10-15,2022-10-21,,
109,2022-10-19,,,,
110,2022-10-19,,,,
111,2022-10-18,,,,
112,2022-10-18,,,,
113,2022-10-18,2022-10-11,2022-10-20,2022-10-25,2022-10-25
114,2022-10-18,2022-10-13,2022-10-20,2022-10-23,
115,2022-10-18,2022-10-10,2022-10-19,2022-10-22,2022-10-24
116,2022-10-18,2022-10-12,2022-10-19,2022-10-21,2022-10-22
117,2022-10-17,2022-10-12,2022-10-19,2022-10-24,2022-10-25
118,2022-10-17,2022-10-11,2022-10-19,2022-10-25,2022-10-26
119,2022-10-17,2022-10-08,2022-10-18,,
120,2022-10-17,2022-10-10,2022-10-18,2022-10-24,
121,2022-10-16,2022-10-12,2022-10-18,,2022-10-23
122,2022-10-16,,,,
123,2022-10-16,2022-10-12,2022-10-18,2022-10-23,2022-10-23
124,2022-10-16,2022-10-11,2022-10-18,2022-10-24,2022-10-24
125,2022-10-16,,,,
126,2022-10-15,,,,
127,2022-10-15,,,,
128,2022-10-15,2022-10-12,2022-10-17,2022-10-23,2022-10-23
129,2022-10-15,2022-10-09,2022-10-16,2022-10-17,2022-10-17
130,2022-10-14,2022-10-07,2022-10-16,2022-10-19,2022-10-19
131,2022-10-14,2022-10-10,2022-10-16,2022-10-18,2022-10-19
132,2022-10-14,2022-10-08,2022-10-16,2022-10-18,2022-10-18
133,2022-10-14,2022-10-09,2022-10-16,2022-10-20,
134,2022-10-14,2022-09-30,2022-10-15,2022-10-18,2022-10-18
135,2022-10-14,,,,
136,2022-10-14,2022-10-10,2022-10-15,2022-10-18,2022-10-18
137,2022-10-13,2022-10-07,2022-10-15,2022-10-22,2022-10-22
138,2022-10-13,2022-10-05,2022-10-14,2022-10-19,2022-10-22
139,2022-10-13,2022-10-08,2022-10-14,2022-10-20,2022-10-22
140,2022-10-12,,,,
141,2022-10-12,2022-09-30,2022-10-14,2022-10-15,2022-10-15
142,2022-10-12,2022-10-07,2022-10-13,2022-10-16,2022-10-16
143,2022-10-12,2022-10-07,2022-10-14,,
144,2022-10-11,2022-10-07,2022-10-13,2022-10-18,2022-10-18
145,2022-10-11,,,,
146,2022-10-10,2022-10-03,2022-10-12,2022-10-17,2022-10-17
147,2022-10-10,,,,
148,2022-10-10,2022-10-04,2022-10-12,2022-10-13,2022-10-17
149,2022-10-10,2022-10-02,2022-10-11,2022-10-12,2022-10-12
150,2022-10-10,2022-10-05,2022-10-12,2022-10-16,2022-10-16
151,2022-10-09,2022-10-04,2022-10-11,2022-10-16,2022-10-16
152,2022-10-09,2022-10-05,2022-10-11,2022-10-18,2022-10-18
153,2022-10-09,2022-10-03,2022-10-11,2022-10-16,2022-10-16
154,2022-10-09,2022-10-05,2022-10-11,2022-10-15,2022-10-16
155,2022-10-09,2022-10-04,2022-10-10,2022-10-14,2022-10-19
156,2022-10-08,2022-10-04,2022-10-10,2022-10-12,2022-10-15
157,2022-10-08,2022-10-03,2022-10-10,2022-10-13,2022-10-16
158,2022-10-08,2022-10-03,2022-10-12,2022-10-10,2022-10-11
159,2022-10-08,2022-10-04,2022-10-10,2022-10-11,2022-10-14
160,2022-10-08,2022-10-03,2022-10-10,2022-10-13,2022-10-13
161,2022-10-08,,2022-10-11,2022-10-15,2022-10-15
162,2022-10-07,2022-09-22,2022-10-09,,
163,2022-10-07,2022-10-02,2022-10-09,2022-10-12,2022-10-12
